epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,887.767,1.20552,0.70056,1.22897,0.76054,0.67127,0.67801,0.28951,1.75803,0.90481,1.20855,0.000990365,0.000990365,0.000990365
43,909.628,1.17805,0.68564,1.23373,0.77507,0.58604,0.66162,0.29351,1.71561,0.89817,1.19041,0.000973861,0.000973861,0.000973861
44,929.571,1.20077,0.68854,1.22626,0.77973,0.61247,0.67781,0.29977,1.78918,0.91027,1.21316,0.000957358,0.000957358,0.000957358
45,951.636,1.19643,0.69363,1.22766,0.8164,0.62673,0.64032,0.30798,1.82331,0.89916,1.23137,0.000940855,0.000940855,0.000940855
46,971.898,1.18755,0.68052,1.23437,0.73745,0.59692,0.63366,0.30768,1.80892,0.92748,1.21974,0.000924352,0.000924352,0.000924352
47,993.677,1.15226,0.65933,1.22091,0.69753,0.65836,0.61038,0.29195,1.88629,0.91069,1.24678,0.000907848,0.000907848,0.000907848
48,1013.85,1.17634,0.65943,1.20641,0.6545,0.69043,0.65786,0.30674,1.82417,0.87209,1.23138,0.000891345,0.000891345,0.000891345
49,1035.54,1.17865,0.67216,1.2258,0.76861,0.66251,0.68798,0.31081,1.78903,0.89663,1.22497,0.000874842,0.000874842,0.000874842
50,1055.69,1.14186,0.64976,1.19453,0.78165,0.66359,0.66713,0.28949,1.79936,0.89861,1.23009,0.000858338,0.000858338,0.000858338
51,1077.71,1.17871,0.66193,1.21552,0.79855,0.60802,0.67698,0.30425,1.77387,0.88349,1.20805,0.000841835,0.000841835,0.000841835
52,1097.7,1.12884,0.63721,1.19736,0.79676,0.65549,0.66764,0.30177,1.75335,0.88388,1.22182,0.000825332,0.000825332,0.000825332
53,1119.49,1.15672,0.66459,1.21969,0.80044,0.66386,0.67948,0.3118,1.78767,0.87756,1.22409,0.000808828,0.000808828,0.000808828
54,1139.68,1.1436,0.64286,1.19955,0.79685,0.62986,0.66759,0.31147,1.76618,0.88567,1.22312,0.000792325,0.000792325,0.000792325
55,1161.09,1.10982,0.62722,1.19962,0.75823,0.68681,0.68476,0.31517,1.78102,0.85372,1.23092,0.000775822,0.000775822,0.000775822
56,1181.02,1.14148,0.62995,1.19102,0.75079,0.67415,0.67834,0.31837,1.73573,0.8571,1.19112,0.000759318,0.000759318,0.000759318
57,1202.61,1.12317,0.63861,1.19159,0.78275,0.63762,0.67883,0.30841,1.72645,0.85003,1.19339,0.000742815,0.000742815,0.000742815
58,1222.45,1.11702,0.63018,1.18451,0.76332,0.63652,0.65262,0.2906,1.74536,0.87415,1.20063,0.000726312,0.000726312,0.000726312
59,1244.29,1.11585,0.62114,1.18837,0.7791,0.61046,0.70196,0.31096,1.76459,0.86995,1.20863,0.000709809,0.000709809,0.000709809
60,1264.53,1.09554,0.61271,1.19138,0.73767,0.69766,0.67461,0.31815,1.78378,0.84382,1.22619,0.000693305,0.000693305,0.000693305
61,1286.01,1.12767,0.62798,1.18747,0.7504,0.61729,0.65052,0.30786,1.75663,0.85843,1.20438,0.000676802,0.000676802,0.000676802
62,1306.48,1.12979,0.62593,1.19122,0.71246,0.64051,0.65195,0.31716,1.80682,0.86524,1.22215,0.000660299,0.000660299,0.000660299
63,1328.18,1.15358,0.64215,1.1852,0.68072,0.66429,0.63871,0.3027,1.78578,0.86262,1.22048,0.000643795,0.000643795,0.000643795
64,1348.3,1.05629,0.59932,1.18546,0.69428,0.65825,0.63124,0.2926,1.74005,0.85592,1.20698,0.000627292,0.000627292,0.000627292
65,1370.25,1.12125,0.61808,1.1834,0.62712,0.67767,0.6412,0.30404,1.78639,0.87284,1.21818,0.000610789,0.000610789,0.000610789
66,1390.42,1.10866,0.61098,1.17052,0.77863,0.6695,0.68271,0.29911,1.75061,0.85445,1.2081,0.000594286,0.000594286,0.000594286
67,1412.08,1.08351,0.59417,1.15776,0.76431,0.69136,0.6735,0.30162,1.75043,0.86593,1.19726,0.000577782,0.000577782,0.000577782
68,1432.43,1.10013,0.59581,1.16623,0.72414,0.67671,0.66177,0.31084,1.78221,0.84413,1.20647,0.000561279,0.000561279,0.000561279
69,1454.19,1.05635,0.58146,1.15299,0.75313,0.69465,0.69366,0.31088,1.77383,0.84702,1.21522,0.000544776,0.000544776,0.000544776
70,1474.32,1.0587,0.58145,1.15984,0.75395,0.679,0.67713,0.30868,1.72883,0.81957,1.19918,0.000528272,0.000528272,0.000528272
71,1495.75,1.07925,0.59994,1.16665,0.69231,0.64881,0.6227,0.29956,1.83789,0.84525,1.23505,0.000511769,0.000511769,0.000511769
72,1515.7,1.07199,0.58318,1.15,0.68663,0.66769,0.62662,0.2999,1.83824,0.85247,1.23712,0.000495266,0.000495266,0.000495266
73,1537.21,1.02885,0.57793,1.14535,0.74198,0.69766,0.66607,0.30755,1.78458,0.84196,1.2124,0.000478762,0.000478762,0.000478762
74,1557.26,1.03198,0.55863,1.14617,0.77428,0.64995,0.67406,0.29993,1.77423,0.83379,1.22022,0.000462259,0.000462259,0.000462259
75,1579.05,1.08495,0.58633,1.14782,0.7782,0.68621,0.68428,0.30393,1.74354,0.81596,1.21228,0.000445756,0.000445756,0.000445756
76,1599.23,1.04974,0.57332,1.15885,0.7754,0.66709,0.67683,0.30384,1.73335,0.82652,1.20522,0.000429253,0.000429253,0.000429253
77,1620.92,1.03053,0.56217,1.15268,0.69589,0.67613,0.66981,0.29735,1.75376,0.82288,1.2182,0.000412749,0.000412749,0.000412749
78,1641.23,1.04563,0.56707,1.14948,0.69687,0.7216,0.66206,0.30248,1.76667,0.83601,1.20748,0.000396246,0.000396246,0.000396246
79,1663.25,1.08721,0.58574,1.14384,0.70149,0.69302,0.63964,0.29961,1.76303,0.83823,1.20662,0.000379743,0.000379743,0.000379743
80,1683.56,1.03737,0.55762,1.14056,0.69079,0.71015,0.66386,0.30787,1.75951,0.83146,1.2171,0.000363239,0.000363239,0.000363239
81,1705.32,1.0362,0.55693,1.14382,0.7201,0.71006,0.6631,0.30601,1.75405,0.82759,1.2103,0.000346736,0.000346736,0.000346736
82,1725.68,1.03204,0.55668,1.138,0.75946,0.69344,0.67019,0.31676,1.71094,0.81507,1.19702,0.000330233,0.000330233,0.000330233
83,1747.62,1.0535,0.56998,1.13496,0.73819,0.67886,0.65787,0.31061,1.75349,0.8352,1.21253,0.000313729,0.000313729,0.000313729
